"seq","speaker","clean_text","raw_text"
1,"JUSTICE ROBERTS","we will hear argument this morning in case  gonzalez versus google mister schnapper oral argument of eric schnapper on behalf of the petition"," We'll hear argument this morning in Case 21-1333, Gonzalez versus Google. Mr. Schnapper. ORAL ARGUMENT OF ERIC SCHNAPPER ON BEHALF OF THE PETITIONERS"
2,"MR. SCHNAPPER","mister chief justice and may it please the court section c distinguishes between claims that seek to hold an internet company liable for content created by someone else and claims based on the companys own conduct that distinction is drawn in each of the three sections of the statute first section c is limited to claims that would treat the defendant as a publisher of thirdparty content the statute uses publish in the common law sense the fourth circuit decision in henderson correctly interprets the statute in that manner and concludes that it involves two elements the claim must be based on the action of the defendant in disseminating thirdparty content and the harm must arise from the content itself second section   c is limited to publication of information provided by another content provider which is often referred to as thirdparty content the statutory defense does not apply insofar as a claim is based on words written by the defendant or other content created by the defendant in some circumstances the manner in which thirdparty content is organized or presented could convey other information from the defendant itself as the government notes third section c only applies insofar as a defendant was acting as an internet computer service most entities that are internet computer services do other things as well this court technically is an interactive computer service because of its website it does other things as it is doing today conduct that falls outside that line of activity is outside the scope of this statute a number of the briefs in this case urge the court to adopt a general rule that things that might be referred to as a recommendation are inherently protected by the statute a decision which would require the court to then fashion some judicial definition of recommendation we think the court should decline that invitation and should instead focus on interpreting the specific language of the statute i welcome the courts quest"," Mr. Chief Justice, and may it please the Court: Section 230(c)(1) distinguishes between claims that seek to hold an Internet company liable for content created by someone else and claims based on the company's own conduct. That distinction is drawn in each of the three sections of the statute. First, Section 230(c)(1) is limited to claims that would treat the defendant as a publisher of third-party content. The statute uses ""publish"" in the common law sense. The Fourth Circuit decision in Henderson correctly interprets the statute in that manner and concludes that it involves two elements: the claim must be based on the action of the defendant in disseminating third-party content, and the harm must arise from the content itself. Second, Section 231 -- 230(c)(1) is limited to publication of information provided by another content provider, which is often referred to as third-party content. The statutory defense doesn't apply insofar as a claim is based on words written by the defendant or other content created by the defendant. In some circumstances, the manner in which third-party content is organized or presented could convey other information from the defendant itself, as the government notes. Third, Section 230(c)(1) only applies insofar as a defendant was acting as an Internet computer service. Most entities that are Internet computer services do other things as well. This Court technically is an interactive computer service because of its website. It does other things, as it is doing today. Conduct that falls outside that line of activity is outside the scope of this statute. A number of the briefs in this case urge the Court to adopt a general rule that things that might be referred to as a recommendation are inherently protected by the statute, a decision which would require the Court to then fashion some judicial definition of ""recommendation."" We think the Court should decline that invitation and should instead focus on interpreting the specific language of the statute. I welcome the Court's questions."
3,"JUSTICE THOMAS","mister snapper  schnapper just so we are clear about what we are  your claim is are you saying that youtubes application of its algorithm is particular to  in this case that they are using a different algorithm to the one that say they are using for cooking videos or are they using the same algorithm across the board"," Mr. Snapper -- Schnapper, just so we're clear about what we're -- your claim is, are you saying that YouTube's application of its algorithm is particular to -- in this case, that they're using a different algorithm to the one that, say, they're using for cooking videos, or are they using the same algorithm across the board?"
4,"MR. SCHNAPPER","it is the same algorithm across "," It's the same algorithm across --"
5,"JUSTICE THOMAS","so "," So --"
6,"MR. SCHNAPPER"," the board"," -- the board."
7,"JUSTICE THOMAS"," so what is  if  if it is the same algorithm i think you have to give us a clearer example of what your point is exactly the same algorithm to present cooking videos to people who are interested in cooking and isis videos to people who are interested in isis racing videos to people who are interested in racing then i think you are going to have to explain more clearly if it is neutral in that way how your claim is set apart from that"," -- so what is -- if -- if it's the same algorithm, I think you have to give us a clearer example of what your point is exactly. The same algorithm to present cooking videos to people who are interested in cooking and ISIS videos to people who are interested in ISIS, racing videos to people who are interested in racing. Then I think you're going to have to explain more clearly, if it's neutral in that way, how your claim is set apart from that."
8,"MR. SCHNAPPER","surely the  if i might turn to the practice of displaying thumbnails which is a major part of what is at issue here the problem  and the issue is not the manner in which youtube displays videos it actually displays as you doubtless know from having looked at these little pictures which are referred to as thumbnails they are intended to encourage the viewer to click on them and go see a video it is the use of algorithms to generate these  these thumbnails that is at issue and the thumbnails in turn involve a  involve content created by the defend"," Surely. The -- if I might turn to the practice of displaying thumbnails, which is a major part of what's at issue here, the problem -- and the issue is not the manner in which YouTube displays videos. It actually displays, as you doubtless know from having looked at, these little pictures, which are referred to as thumbnails. They are intended to encourage the viewer to click on them and go see a video. It's the use of algorithms to generate these -- these thumbnails that's at issue, and the thumbnails, in turn, involve a -- involve content created by the defendant."
9,"JUSTICE THOMAS","but the  it is basing  the thumbnails from what i understand is based upon what the algorithm suggests the user is interested in so if you are interested in cooking you do not want thumbnails on light jazz you  so the  it is  it is  it is neutral in that sense you are interested in cooking say you get interested in rice  in pilaf from uzbekistan you do not want pilaf from some other place say louisiana the  so the  i do not see how that is any different from what is happening in this case and what i am trying to get you to focus on is if  if the  are we talking about the neutral application of an algorithm that works generically for pilaf and  and it also works in a similar way for isis videos or is there something differ"," But the -- it's basing -- the thumbnails, from what I understand, is based upon what the algorithm suggests the user is interested in. So, if you're interested in cooking, you don't want thumbnails on light jazz. You -- so the -- it's -- it's -- it's neutral in that sense. You're interested in cooking. Say you get interested in rice -- in pilaf from Uzbekistan. You don't want pilaf from some other place, say, Louisiana. The -- so the -- I don't see how that is any different from what is happening in this case. And what I'm trying to get you to focus on is if -- if the -- are we talking about the neutral application of an algorithm that works generically for pilaf and -- and it also works in a similar way for ISIS videos? Or is there something different?"
10,"MR. SCHNAPPER","no i think that is correct but  but our  our view is that the fact that a  a  an algorithm is neutral does not alter the application of the statute the statute requires that one work through each of the elements of the defense and see if it applies the  the lower courts in a couple of cases have said that  really disregarding the requirements of the  of the defense that as long as an algorithm is neutral that puts the  the conduct outside the  within the protection of the statute but that is not what the statute says the statute says you must be acting  you must be  the claim must treat you as a publish"," No, I think that's correct, but -- but our -- our view is that the fact that a -- a -- an algorithm is neutral doesn't alter the application of the statute. The statute requires that one work through each of the elements of the defense and see if it applies. The -- the lower courts, in a couple of cases, have said that -- really disregarding the requirements of the -- of the defense, that as long as an algorithm is neutral, that puts the -- the conduct outside the -- within the protection of the statute. But that's not what the statute says. The statute says you must be acting -- you must be -- the claim must treat you as a publisher. "
